profile	family	model	src_sym	src_param	req_mhz	map_hz	parent	parent_mhz	req_eff	actual_mhz	old_boot_actual
360_ap1pa3_t31x_gc4653_atbm6031	t31	t31x	INTERNAL	None	400	400000000	mpll	1200.0	400.0	400.0	None
ajcloud_cp2011_t23n_sc2336_atbm6132bu	t23	t23n	None	None	None	None	None	None	None	None	None
ajcloud_cp8010_t23n_sc2336p_atbm6132bu	t23	t23n	None	None	None	None	None	None	None	None	None
ajcloud_cp8040_t23n_sc2336p_atbm6132bu	t23	t23n	None	None	None	None	None	None	None	None	None
aobocam_a12_t23dl_jxh63p_txw901u	t23	t23dl	None	None	None	None	None	None	None	None	None
aoqee_c1_t23n_sc2331_atbm6062cu	t23	t23n	None	None	None	None	None	None	None	None	None
aoqee_c1_t23n_sc2336_atbm6062	t23	t23n	None	None	None	None	None	None	None	None	None
aoqee_c1_t23n_sc2336_atbm6062cu	t23	t23n	None	None	None	None	None	None	None	None	None
aosu_c5l_t31l_sc3336_rtl8188ftv	t31	t31l	MPLL	mpll	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
aosu_c5l_t31l_sc3338_rtl8188ftv	t31	t31l	MPLL	mpll	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
atom_cam2_t31x_gc2053_atbm6031	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
cinnado_b6_t23zn_os02g10_atbm6461	t23	t23zn	None	None	None	None	None	None	None	None	None
cinnado_d1_t23n_sc2331_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
cinnado_d1_t23n_sc2336_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
cinnado_d1_t31l_sc2336_atbm6031	t31	t31l	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
cinnado_d1_t31l_sc2336_atbm6031x	t31	t31l	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
dekco_dc5l_t31l_sc3336_rtl8188ftv	t31	t31l	MPLL	mpll	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
ec76_u15_t21n_jxf23_rtl8188ftv	t21	t21n	None	None	None	None	None	None	None	None	None
edison_wk1mpx_t20n_jxh62_rtl8188ftv	t20	t20n	None	None	None	None	None	None	None	None	None
elife_etn3431hdw_t31x_os03b10_ssv6155	t31	t31x	INTERNAL	None	400	400000000	mpll	1200.0	400.0	400.0	None
eufy_t8400x_t31x_sc3235_syn4343	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
eufy_t8400x_t31x_sc3335_syn4343	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
eufy_t8400x_t31x_sc3338_syn4343	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
eufy_t8410c_t31x_sc3338_atbm6031x	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
eufy_t8410x_t31x_sc3235_syn4343	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
eufy_t8410x_t31x_sc3335_syn4343	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
eufy_t8410x_t31x_sc3336_syn4343	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
eufy_t8410x_t31x_sc3338_syn4343	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
eufy_t8441x_t31x_sc3335_syn4343	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
eufy_t8441x_t31x_sc3338_syn4343	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
eufy_t8442x_t31x_sc3335_syn4343	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
eufy_t8442x_t31x_sc3338_syn4343	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
feisda_hd620_t31x_jxq03_eth+rtl8188ftv	t31	t31x	VPLL	vpll	486	None	vpll	1200.0	550.0	400.0	540.0
galayou_g2_t23n_sc2336_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
galayou_g7_t23n_sc2336_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
galayou_y4_t23n_sc2336_atbm6062	t23	t23n	None	None	None	None	None	None	None	None	None
galayou_y4_t23n_sc2336_atbm6062cu	t23	t23n	None	None	None	None	None	None	None	None	None
galayou_y4_t23n_sc2336p_atbm6062	t23	t23n	None	None	None	None	None	None	None	None	None
galayou_y4_t31l_sc2336_atbm6012b	t31	t31l	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
galayou_y4_t31l_sc2336_atbm6012bx	t31	t31l	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
galayou_y4_t31l_sc2336_atbm6032	t31	t31l	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
galayou_y4_t31n_sc2336_atbm6012b	t31	t31n	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
ginzzu_op200_t31l_gc2083_ssv6155	t31	t31l	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
gncc_gc2_t23n_sc2336_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
gncc_gc2_t23n_sc2336p_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
gncc_gc2_t23n_sc3332_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
gncc_gc2_t31l_sc2336_atbm6012b	t31	t31l	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
gncc_p5_t23n_sc3332_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
hamedal_c20_t31a_gc2053	t31	t31a	INTERNAL	None	600	600000000	mpll	1500.0	600.0	500.0	None
hc_3301ymt1_t31n_sc2332_eth+hi3881	t31	t31n	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
hl_jdpan01_t31l_gc2053_atbm6031	t31	t31l	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
howell_qj05t_t20l_sc2235_eth+rtl8188ftv	t20	t20l	None	None	None	None	None	None	None	None	None
hugolog_e5_t31l_sc2336p_atbm6012bx	t31	t31l	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
